"id","authors","year","journal","title","abstract"
"1","Merow, Cory; Serra-Diaz, Josep M.; Enquist, Brian J.; Wilson, Adam M.",2023,"Nature Ecology & Evolution","ai chatbot boost scientific coding","chatbot powered artificial intelligence chatgpt ready speed monotonous coding task teach skill highlight advantage limitation generative artificial intelligence scientific coding argue debug head start challenging task"
"2","Marwick, Ben; Boettiger, Carl; Mullen, Lincoln",2018,"The American Statistician","packaging data analytical reproducibly friend","computer central tool research process enabling complex scale data analysis computer based research increased complexity challenge ensuring research reproducible address challenge review concept research compendium solution providing standard easily recognizable organizing digital material research project enable researcher inspect reproduce extend research investigate structure tooling software package programming language produce research compendia variety discipline describe software engineering tool service researcher streamline research compendia real world researcher improve reproducibility research compendia based package related tool"
"3","Ferro, Manuela Vanegas; Lee, Allen; Pritchard, Calvin; Barton, C. Michael; Janssen, Marco A.",2022,"Socio-Environmental Systems Modelling","containerization creating reusable model code","run computational model future documented code difficult due change software framework operating system code built paper discuss container preserve code software dependency reproduce simulation result future container standalone lightweight package original model software dependency run independent platform suitable reuse sharing result container rare field modeling social environmental system provide introduction basic principle containerization argue beneficial tool common practice field describe conceptual walkthrough process containerizing model reflect future direction containerization workflow"
"4","Dempsey, William; Foster, Ian; Fraser, Scott; Kesselman, Carl",2022,"Harvard data science review","sharing begin home","broad sharing research data widely viewed critical speed quality accessibility integrity science increasing effort encourage data sharing quality shared data frequency data reuse remain stubbornly low argue significant reason unfortunate affair organization research result findable accessible interoperable reusable fair form required reuse deferred research project preparing publication time essential detail accessible propose approach research informatic fair principle applied continuously inception research project ubiquitously data asset produced experiment computation suggest seemingly challenging task feasible adoption simple tool lightweight identifier ensure data asset findable packaging method facilitate understanding data content data access method metadatum organization structuring tool support schema development evolution experimental neuroscience illustrate method practice imagine crowded attic box family photo assemble accurate photographic record life task extremely difficult researcher similar challenge attempting comply data sharing mandate funding agency journal increasingly enforcing prepare publication seek assemble data result based data hard identify distributed storage system labeled sense data saved convey information data ultimately share incomplete inaccurate scientific progress depend ability reproduce published research result situation unfortunate suggest gap intent action due primarily poor process bad intention data sharing concern considered investigation publication prepared argue key improved research data sharing adopt process data involved research project phase findable accessible interoperable reusable fair contemporary parlance suggest digital camera simplify family life automatically recording time photo tool simplify adoption process required achieve continuous ubiquitous fairness multi neuroscience investigation illustrate suitable method tool result data sharing time publication efficiency effectiveness research team project"
"5","Nüst, Daniel; Sochat, Vanessa; Marwick, Ben; Eglen, Stephen J.; Head, Tim; Hirst, Tony; Evans, Benjamin D.",2020,"PLOS Computational Biology","ten simple rule writing dockerfile reproducible data science","computational science greatly improved container packaging software data dependency scholarly context main driver container transparency support reproducibility reproducibility greatly affected choice respect building container build process image created instruction provided dockerfile format support approach set rule researcher write understandable dockerfile typical data science workflow rule article researcher create container suitable sharing fellow scientist including scholarly communication education scientific paper effective sustainable personal workflow"
"6","Essawy, Bakinam T.; Goodall, Jonathan L.; Voce, Daniel; Morsy, Mohamed M.; Sadler, Jeffrey M.; Choi, Young Don; Tarboton, David G.; Malik, Tanu",2020,"Environmental Modelling & Software","taxonomy reproducible replicable research environmental modelling","growing acknowledgment reproducibility crisis computational science lack clarity constitute reproducible replicable study computational field including environmental modelling taxonomy define environmental modelling study repeatable runnable reproducible replicable introduce term illustrative hydrology hydrologic modelling framework cyberinfrastructure aimed fostering reproducibility taxonomy guide argue containerization lacking component achieve goal computational reproducibility hydrology environmental modelling hydrology provided demonstrate tool including user friendly tool containerization computational analysis called sciunit lower barrier reproducibility replicability environmental modelling community"
"7","Figueiredo, Ludmilla; Scherer, Cédric; Cabral, Juliano Sarmento",2022,"PLOS Computational Biology","simple kit computational notebook openness reproducibility productivity research","ubiquitous computational data generation processing modeling increased importance digital documentation improving research quality impact computational notebook file descriptive text code output single dynamic visually appealing file easier understand nonspecialist traditionally data scientist producing report informing decision tool research publication common potential increase research impact quality single study content documentation partially overlap classical lab notebook scientific manuscript reporting study minimize amount required manage file related content optimize production starter kit facilitate implementation computational notebook research process including publication kit template computational notebook integrated research project employ python julia ecological study computational notebook foster implementation principle science reproducibility traceability kit designed beginner practice gradually implemented develop digital research workflow hope minimalist effective starter kit encourage researcher adopt practice workflow computational background"
"8","Turner, Daniel B; Behm, Jocelyn E; Phillips, Payton M; Ramirez, Victoria A; Helmus, Matthew R",2022,"Frontiers in Ecology and the Environment","coding broader impact leveraging coding skill stakeholder communication","sharing ecological research stakeholder broader impact conservation sustainability outcome ecologist major challenge effective communication stakeholder including lack reciprocal trust unacknowledged incentive differing goal scientific inaccessibility obstacle stem professional training ecology prioritizing effective communication peer public argue coding skill honed peer communication leveraged overcome challenge coding broader impact framework provide task promote effective communication culminate individualized stakeholder report report explicitly incorporate stakeholder knowledge coded conjunction task peer communication illustrate framework study shared data information backyard biodiversity agricultural impact tick borne disease homeowner farmer land manager coding broader impact framework common analytical tool public communication skill valuable diverse stakeholder audience"
"9","Braga, Pedro Henrique Pereira; Hébert, Katherine; Hudgins, Emma J.; Scott, Eric R.; Edwards, Brandon P. M.; Sánchez Reyes, Luna L.; Grainger, Matthew J.; Foroughirad, Vivienne; Hillemann, Friederike; Binley, Allison D.; Brookson, Cole B.; Gaynor, Kaitlyn M.; Shafiei Sabet, Saeed; Güncan, Ali; Weierbach, Helen; Gomes, Dylan G. E.; Crystal-Ornelas, Robert",2022,"Methods in Ecology and Evolution","programmer github accelerate collaborative reproducible research ecology evolution","researcher ecology evolutionary biology increasingly dependent computational code conduct research efficient method share reproduce collaborate code document research fundamental github online cloud based service researcher track organize discuss share collaborate software material related research production including data code analysis protocol benefit github ecology evolution widespread researcher ecology evolution adopt feature github improve research workflow review practical platform outline feature ranging low technical difficulty including storing code managing project coding collaboratively conducting peer review writing manuscript automated continuous integration streamline analysis research team technical skill responsibility describe optimal github feature vary research collaboration ecologist evolutionary biologist establish workflow github field continue push boundary collaborative transparent research"
"10","Brinckman, Adam; Chard, Kyle; Gaffney, Niall; Hategan, Mihael; Jones, Matthew B.; Kowalik, Kacper; Kulasekaran, Sivakumar; Ludäscher, Bertram; Mecum, Bryce D.; Nabrzyski, Jarek; Stodden, Victoria; Taylor, Ian J.; Turk, Matthew J.; Turner, Kandace",2019,"Future Generation Computer Systems","computing environment reproducibility capturing tale","act sharing scientific knowledge rapidly evolving traditional article presentation delivery executable object integrate data computational detail script workflow finding rely envisioned coupling data process essential advancing science technical institutional barrier tale project aim address barrier connecting computational data intensive research effort larger research process transforming knowledge discovery dissemination process data product united research article create living publication tale tale focus spectrum science empowering user tail science power user demand access data compute resource report design architecture implementation tale environment"
